PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
B,"SCHENCK, NC; SIQUEIRA, JO; OLIVEIRA, E",,"VANCURA, V; KUNC, F",,"SCHENCK, NC; SIQUEIRA, JO; OLIVEIRA, E",,,CHANGES IN THE INCIDENCE OF VA MYCORRHIZAL FUNGI WITH CHANGES IN ECOSYSTEMS,INTERRELATIONSHIPS BETWEEN MICROORGANISMS AND PLANTS IN SOIL,,,English,Proceedings Paper,INTERNATIONAL SYMP ON INTERRELATIONSHIPS BETWEEN MICROORGANISMS AND PLANTS IN SOIL,"JUN 22-27, 1987","LIBLICE CASTLE, CZECHOSLOVAKIA","ACAD SCI INST MICROBIOL, CZECH SOC MICROBIOL",,,,,,,,,,,,,0,12,15,0,0,ACADEMIA-PUBL HOUSE CZECHOSLOVAK ACAD SCIENCES,PRAGUE,PRAGUE,,,,,,,1989,,,,,,,125,129,,,,,5,Microbiology; Soil Science,Microbiology; Agriculture,BP93T,WOS:A1989BP93T00017,,,,,10/31/19
B,"PEREZ, Y; SCHENCK, NC",,"VANCURA, V; KUNC, F",,"PEREZ, Y; SCHENCK, NC",,,THE INTERNATIONAL CULTURE COLLECTION OF VA MYCORRHIZAL FUNGI (INVAM),INTERRELATIONSHIPS BETWEEN MICROORGANISMS AND PLANTS IN SOIL,,,English,Proceedings Paper,INTERNATIONAL SYMP ON INTERRELATIONSHIPS BETWEEN MICROORGANISMS AND PLANTS IN SOIL,"JUN 22-27, 1987","LIBLICE CASTLE, CZECHOSLOVAKIA","ACAD SCI INST MICROBIOL, CZECH SOC MICROBIOL",,,,,,,,,,,,,0,0,0,0,0,ACADEMIA-PUBL HOUSE CZECHOSLOVAK ACAD SCIENCES,PRAGUE,PRAGUE,,,,,,,1989,,,,,,,171,175,,,,,5,Microbiology; Soil Science,Microbiology; Agriculture,BP93T,WOS:A1989BP93T00023,,,,,10/31/19
B,"STRZELCZYK, E; POKOJSKA, A; KAMPERT, M; MICHALSKI, L; KOWALSKI, S",,"VANCURA, V; KUNC, F",,"STRZELCZYK, E; POKOJSKA, A; KAMPERT, M; MICHALSKI, L; KOWALSKI, S",,,PRODUCTION OF PLANT-GROWTH REGULATORS BY NON-MYCORRHIZAL FUNGI ASSOCIATED WITH THE ROOTS OF FOREST TREES,INTERRELATIONSHIPS BETWEEN MICROORGANISMS AND PLANTS IN SOIL,,,English,Proceedings Paper,INTERNATIONAL SYMP ON INTERRELATIONSHIPS BETWEEN MICROORGANISMS AND PLANTS IN SOIL,"JUN 22-27, 1987","LIBLICE CASTLE, CZECHOSLOVAKIA","ACAD SCI INST MICROBIOL, CZECH SOC MICROBIOL",,,,,,,,,,,,,0,4,4,0,0,ACADEMIA-PUBL HOUSE CZECHOSLOVAK ACAD SCIENCES,PRAGUE,PRAGUE,,,,,,,1989,,,,,,,213,222,,,,,10,Microbiology; Soil Science,Microbiology; Agriculture,BP93T,WOS:A1989BP93T00029,,,,,10/31/19
J,"WILLIAMS, PA; BUXTON, RP",,,,"WILLIAMS, PA; BUXTON, RP",,,RESPONSE TO REDUCED IRRADIANCE OF 15 SPECIES OF NATIVE AND ADVENTIVE SHRUB AND TREE SEEDLINGS FROM EASTERN CANTERBURY,NEW ZEALAND JOURNAL OF ECOLOGY,,,English,Article,,,,,,SHADE RESPONSE; GROWTH RATES; WOODY SEEDLINGS; ROOT; SHOOT RATIO; WEEDS; SUCCESSION; CANTERBURY,NEW-ZEALAND; GROWTH; SUCCESSION,"Seedlings of fifteen species of shrubs and small trees, commonly found in open sites and early stages of secondary succession, were grown in a glasshouse under light intensities of 16% and 66% full daylight, and their growth parameters (height, number of leaves, dry weight, mean relative growth rate) recorded. Three species from open habitats, Coprosma robusta and Dodonaea viscosa, and an adventive shrub, Crataegus monogyna, had the highest mean relative growth rates in 66% daylight and 16% daylight, but their ranking for other parameters (e.g. height) was variable. Acer pseudoplatanus and Plagianthus regius had particularly fast height growth. Carpodetus serratus was the fastest growing species of early successional vegetation on weakly to moderately leached soils, and it grew as well in 16% daylight as in 66% daylight. Many species has significantly faster height growth in 16% daylight, e.g., Melicytus ramiflorus and Pittosporum tenuifolium, and several species had faster height growth rates overall, in 16% daylight, e.g., Myrsine australis, Melicytus ramiflorus, and Pittosporum eugenioides. Griselinia littoralis, from moderately to strongly leached soils, had the slowest height growth rates in both light levels. All species had lower root:shoot ratios and a greater proportion of dry weight in leaves in 16% daylight. Such responses may contribute to the slow establishment of these species in secondary vegetation experiencing summer drought in the seedlings' rooting zone. Growth patterns are also likely to be adaptations to factors other than light, particularly soil fertility. There is some evidence that seedlings of the earliest successional and less shade-tolerant species, especially those from weakly leached soils, grew more rapidly than those from later-successional vegetation and edaphically harsher sites. Some shade-tolerant species benefit from slight shade which concurs with their later entry into secondary vegetation.","DSIR,DIV BOT,NELSON,NEW ZEALAND; DSIR,DIV BOT,CHRISTCHURCH,NEW ZEALAND",,,,,,,,26,17,17,0,7,NEW ZEALAND ECOL SOC,CHRISTCHURCH,"PO BOX 25178, CHRISTCHURCH, NEW ZEALAND",0110-6465,,,NEW ZEAL J ECOL,N. Z. J. Ecol.,,1989,12,,,,,,95,101,,,,,7,Ecology,Environmental Sciences & Ecology,EQ178,WOS:A1989EQ17800010,,,,,10/31/19
J,"MULLER, RN; KALISZ, PJ; LUKEN, JO",,,,"MULLER, RN; KALISZ, PJ; LUKEN, JO",,,FINE ROOT PRODUCTION OF ASTRINGENT PHENOLICS,OECOLOGIA,,,English,Note,,,,,,,,,"NO KENTUCKY UNIV,DEPT BIOL SCI,HIGHLAND HTS,KY 41076","MULLER, RN (reprint author), UNIV KENTUCKY,LEXINGTON,KY 40546, USA.",,,,,,,25,23,24,0,0,SPRINGER VERLAG,NEW YORK,"175 FIFTH AVE, NEW YORK, NY 10010",0029-8549,,,OECOLOGIA,Oecologia,,1989,79,4,,,,,563,565,,10.1007/BF00378676,,,3,Ecology,Environmental Sciences & Ecology,AA665,WOS:A1989AA66500020,28313493,,,,10/31/19
J,"BAAS, R; VANDIJK, C; TROELSTRA, SR",,,,"BAAS, R; VANDIJK, C; TROELSTRA, SR",,,"EFFECTS OF RHIZOSPHERE SOIL, VESICULAR-ARBUSCULAR MYCORRHIZAL FUNGI AND PHOSPHATE ON PLANTAGO-MAJOR L SSP PLEIOSPERMA PILGER",PLANT AND SOIL,,,English,Article,,,,,,,,,,"BAAS, R (reprint author), INST ECOL RES,DEPT DUNE RES,DUINZOOM 20A,3223 EG OOSTVOORNE,NETHERLANDS.",,,,,,,30,6,6,0,2,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,JAN,1989,113,1,,,,,59,67,,10.1007/BF02181922,,,9,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,T6335,WOS:A1989T633500008,,,,,10/31/19
J,"FURLAN, V; BERNIERCARDOU, M",,,,"FURLAN, V; BERNIERCARDOU, M",,,"EFFECTS OF N, P, AND K ON FORMATION OF VESICULAR-ARBUSCULAR MYCORRHIZAE, GROWTH AND MINERAL-CONTENT OF ONION",PLANT AND SOIL,,,English,Article,,,,,,,,,,"FURLAN, V (reprint author), AGR CANADA,RECH STN,2560 BOUL HOCHELAGA,ST FOY G1V 2J3,QUEBEC,CANADA.",,,,,,,33,45,50,0,6,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,JAN,1989,113,2,,,,,167,174,,10.1007/BF02280177,,,8,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,T7199,WOS:A1989T719900004,,,,,10/31/19
J,"ALBUZIO, A; FERRARI, G",,,,"ALBUZIO, A; FERRARI, G",,,MODULATION OF THE MOLECULAR-SIZE OF HUMIC SUBSTANCES BY ORGANIC-ACIDS OF THE ROOT EXUDATES,PLANT AND SOIL,,,English,Article,,,,,,,,,,"ALBUZIO, A (reprint author), UNIV PADUA,DEPT AGR BIOTECHNOL,VIA GRADENIGO 6,I-35131 PADUA,ITALY.",,,,,,,13,14,19,0,0,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,JAN,1989,113,2,,,,,237,241,,10.1007/BF02280186,,,5,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,T7199,WOS:A1989T719900013,,,,,10/31/19
J,"ADAMS, MB; PENNELL, KD; CAMPBELL, RG",,,,"ADAMS, MB; PENNELL, KD; CAMPBELL, RG",,,FINE ROOT DISTRIBUTION IN A YOUNG LOBLOLLY-PINE (PINUS-TAEDA L) STAND - EFFECTS OF PREPLANT PHOSPHORUS FERTILIZATION,PLANT AND SOIL,,,English,Note,,,,,,,,,"UNIV FLORIDA,DEPT SOIL SCI,GAINESVILLE,FL 32611; WEYERHAEUSER CO,NEW BERN,NC 28560","ADAMS, MB (reprint author), OAK RIDGE NATL LAB,DIV ENVIRONM SCI,OAK RIDGE,TN 37831, USA.",,"Adams, Mary B/G-9795-2017; Pennell, Kurt/F-6862-2010","Adams, Mary B/0000-0002-4101-8501; Pennell, Kurt/0000-0002-5788-6397",,,,26,7,8,0,5,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,JAN,1989,113,2,,,,,275,278,,10.1007/BF02280192,,,4,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,T7199,WOS:A1989T719900019,,,,,10/31/19
J,"REDDY, MN; POKOJSKA, A; KAMPERT, M; STRZELCZYK, E",,,,"REDDY, MN; POKOJSKA, A; KAMPERT, M; STRZELCZYK, E",,,"AUXIN-LIKE, GIBBERELLIN-LIKE SUBSTANCES AND CYTOKININS IN THE SEED AND ROOT EXUDATES OF GROUNDNUT",PLANT AND SOIL,,,English,Note,,,,,,,,,,"REDDY, MN (reprint author), SRI VENKATESWARA UNIV,DEPT BOT,TIRUPATI 517502,ANDHRA PRADESH,INDIA.",,,,,,,13,5,5,0,0,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,JAN,1989,113,2,,,,,283,286,,10.1007/BF02280194,,,4,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,T7199,WOS:A1989T719900021,,,,,10/31/19
J,"Cannell, MGR",,,,"Cannell, M. G. R.",,,Physiological Basis of Wood Production: a Review,SCANDINAVIAN JOURNAL OF FOREST RESEARCH,,,English,Article,,,,,,light interception; canopy dynamics; light use efficiency; photosynthesis; respiration; partitioning,NET PRIMARY PRODUCTION; SITCHENSIS BONG CARR; FINE-ROOT-GROWTH; SITKA SPRUCE; LEAF-AREA; BIOMASS PRODUCTION; DRY-MATTER; RADIATION INTERCEPTION; WILLOW PRODUCTION; PHOTOSYNTHESIS,"The theoretical background to wood production is outlined and the factual background is given by reviewing measured rates of wood production. It is recommended that differences in wood production be analysed, not by statistical methods, traditional growth analysis or by comprehensive models, but by using a 'light use analysis', where wood production is determined by (1) the amount of light intercepted by the canopy, (2) the light use efficiency, net of respiration, (3) the proportion of assimilates partitioned to wood, and (4) mortality losses. These four components are discussed.","Inst Terr Ecol, Penicuik EH26 0QB, Midlothian, Scotland","Cannell, MGR (reprint author), Inst Terr Ecol, Bush Estate, Penicuik EH26 0QB, Midlothian, Scotland.",,,,Commission of European CommunitiesEuropean Union (EU),"This review is largely taken from Chapter 2 of the book ""Biomass Forestry in Europe: a Strategy for the Future"", ed. F. C. Hummel, W. Palz and G. Grassi, Elsevier Applied Science (1988), London and New York. The review was sponsored by the Commission of European Communities, Biomass Development Programme, to whom I am grateful for permission to publish.",,148,183,193,1,21,TAYLOR & FRANCIS AS,OSLO,"KARL JOHANS GATE 5, NO-0154 OSLO, NORWAY",0282-7581,1651-1891,,SCAND J FOREST RES,Scand. J. Forest Res.,,1989,4,4-Jan,,,,,459,490,,10.1080/02827588909382582,,,32,Forestry,Forestry,V22IQ,WOS:000208269300042,,,,,10/31/19
J,"SANGINGA, N; MULONGOY, K; AYANABA, A",,,,"SANGINGA, N; MULONGOY, K; AYANABA, A",,,EFFECTIVITY OF INDIGENOUS RHIZOBIA FOR NODULATION AND EARLY NITROGEN-FIXATION WITH LEUCAENA-LEUCOCEPHALA GROWN IN NIGERIAN SOILS,SOIL BIOLOGY & BIOCHEMISTRY,,,English,Article,,,,,,,,,"INT INST TROP AGR,IBADAN,NIGERIA",,,,,,,,18,18,18,0,2,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0038-0717,,,SOIL BIOL BIOCHEM,Soil Biol. Biochem.,,1989,21,2,,,,,231,235,,10.1016/0038-0717(89)90099-0,,,5,Soil Science,Agriculture,U3261,WOS:A1989U326100007,,,,,10/31/19
J,"ROSENDAHL, S; SEN, R; HEPPER, CM; AZCONAGUILAR, C",,,,"ROSENDAHL, S; SEN, R; HEPPER, CM; AZCONAGUILAR, C",,,QUANTIFICATION OF 3 VESICULAR ARBUSCULAR MYCORRHIZAL FUNGI (GLOMUS SPP) IN ROOTS OF LEEK (ALLIUM-PORRUM) ON THE BASIS OF ACTIVITY OF DIAGNOSTIC ENZYMES AFTER POLYACRYLAMIDE-GEL ELECTROPHORESIS,SOIL BIOLOGY & BIOCHEMISTRY,,,English,Article,,,,,,,,,"AFRC,INST ARABLE CROPS RES,DEPT SOILS,ROTHAMSTED EXPTL STN,HARPENDEN AL5 2JQ,HERTS,ENGLAND",,,"Sen, Robin/G-3263-2011; Azcon, Concepcion/H-5873-2015; Rosendahl, Soren/F-4461-2014","Sen, Robin/0000-0002-1914-2178; Azcon, Concepcion/0000-0003-3041-8566; Rosendahl, Soren/0000-0001-5202-6585",,,,15,19,20,0,2,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0038-0717,,,SOIL BIOL BIOCHEM,Soil Biol. Biochem.,,1989,21,4,,,,,519,522,,10.1016/0038-0717(89)90124-7,,,4,Soil Science,Agriculture,AF727,WOS:A1989AF72700008,,,,,10/31/19
J,"AZCON, R",,,,"AZCON, R",,,SELECTIVE INTERACTION BETWEEN FREE-LIVING RHIZOSPHERE BACTERIA AND VESICULAR ARBUSCULAR MYCORRHIZAL FUNGI,SOIL BIOLOGY & BIOCHEMISTRY,,,English,Article,,,,,,,,,,"AZCON, R (reprint author), CSIC,ESTAC EXPTL ZAIDIN,DEPT MICROBIOL,E-18008 GRANADA,SPAIN.",,"Azcon, Rosario/H-5240-2015","Azcon, Rosario/0000-0003-4568-4090",,,,34,52,55,1,8,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0038-0717,,,SOIL BIOL BIOCHEM,Soil Biol. Biochem.,,1989,21,5,,,,,639,644,,10.1016/0038-0717(89)90057-6,,,6,Soil Science,Agriculture,AL083,WOS:A1989AL08300005,,,,,10/31/19
J,"ELSHEIKH, EAE; WOOD, M",,,,"ELSHEIKH, EAE; WOOD, M",,,"RESPONSE OF CHICKPEA AND SOYBEAN RHIZOBIA TO SALT - INFLUENCE OF CARBON SOURCE, TEMPERATURE AND PH",SOIL BIOLOGY & BIOCHEMISTRY,,,English,Article,,,,,,,,,"UNIV READING,DEPT SOIL SCI,LONDON RD,READING RG1 5AQ,BERKS,ENGLAND",,,,,,,,19,14,16,0,0,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0038-0717,,,SOIL BIOL BIOCHEM,Soil Biol. Biochem.,,1989,21,7,,,,,883,887,,10.1016/0038-0717(89)90076-X,,,5,Soil Science,Agriculture,AZ605,WOS:A1989AZ60500002,,,,,10/31/19
J,"ELSHEIKH, EAE; WOOD, M",,,,"ELSHEIKH, EAE; WOOD, M",,,RESPONSE OF CHICKPEA AND SOYBEAN RHIZOBIA TO SALT - OSMOTIC AND SPECIFIC ION EFFECTS OF SALTS,SOIL BIOLOGY & BIOCHEMISTRY,,,English,Article,,,,,,,,,"UNIV READING,DEPT SOIL SCI,LONDON RD,READING RG1 5AQ,BERKS,ENGLAND",,,,,,,,22,33,36,0,2,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0038-0717,,,SOIL BIOL BIOCHEM,Soil Biol. Biochem.,,1989,21,7,,,,,889,895,,10.1016/0038-0717(89)90077-1,,,7,Soil Science,Agriculture,AZ605,WOS:A1989AZ60500003,,,,,10/31/19
